summary_group,item_name,hf_name,hf_type,fy,num,den,avg_score,section,index
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",RUHANGO PH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,553
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",RUHENGERI RH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,554
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",RULI DH,"Hospital (DH,PH,RH)",2023-2024,24.0,30.0,80.0,diagnosis,555
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",RUTONGO DH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,556
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",RWAMAGANA PH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,557
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",RWINKWAVU DH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,558
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Remera Rukoma DH,"Hospital (DH,PH,RH)",2020-2021,7.0,30.0,23.333333333333332,diagnosis,559
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Remera Rukoma DH,"Hospital (DH,PH,RH)",2021-2022,0.0,30.0,0.0,diagnosis,560
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rubavu Prison,Health Center,2022-2023,0.0,30.0,0.0,diagnosis,561
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rubengera CS,Health Center,2022-2023,0.0,30.0,0.0,diagnosis,562
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rufungo CS,Health Center,2022-2023,0.0,30.0,0.0,diagnosis,563
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rugabano CS,Health Center,2022-2023,0.0,30.0,0.0,diagnosis,564
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rugarama (gatsibo) CS,Health Center,2020-2021,0.0,0.0,,diagnosis,565
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rugarama (gatsibo) CS,Health Center,2021-2022,0.0,30.0,0.0,diagnosis,566
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Ruhango CS,Health Center,2021-2022,0.0,30.0,0.0,diagnosis,567
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Ruhango CS,"Hospital (DH,PH,RH)",2020-2021,0.0,0.0,,diagnosis,568
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Ruhango PH,"Hospital (DH,PH,RH)",2020-2021,30.0,30.0,100.0,diagnosis,569
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Ruhango PH,"Hospital (DH,PH,RH)",2021-2022,30.0,30.0,100.0,diagnosis,570
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Ruhengeri RH,"Hospital (DH,PH,RH)",2020-2021,30.0,30.0,100.0,diagnosis,571
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Ruheru (kanjongo Nyamasheke) CS,Health Center,2022-2023,0.0,30.0,0.0,diagnosis,572
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Ruhunda CS,Health Center,2020-2021,0.0,0.0,,diagnosis,573
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Ruhunda CS,Health Center,2021-2022,30.0,30.0,100.0,diagnosis,574
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rukara CS,Health Center,2020-2021,0.0,0.0,,diagnosis,575
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rukara CS,Health Center,2021-2022,0.0,30.0,0.0,diagnosis,576
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rukira CS,Health Center,2020-2021,0.0,0.0,,diagnosis,577
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rukira CS,Health Center,2021-2022,0.0,30.0,0.0,diagnosis,578
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rukoma Sake CS,Health Center,2020-2021,30.0,30.0,100.0,diagnosis,579
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rukoma Sake CS,Health Center,2021-2022,3.0,30.0,10.0,diagnosis,580
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Ruli CS,Health Center,2020-2021,0.0,30.0,0.0,diagnosis,581
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Ruli DH,"Hospital (DH,PH,RH)",2020-2021,30.0,30.0,100.0,diagnosis,582
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Runyombyi CS,Health Center,2021-2022,0.0,30.0,0.0,diagnosis,583
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rusumo CS,Health Center,2020-2021,0.0,0.0,,diagnosis,584
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rusumo CS,Health Center,2021-2022,0.0,30.0,0.0,diagnosis,585
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rutare (kayonza) CS,Health Center,2020-2021,0.0,0.0,,diagnosis,586
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rutare (kayonza) CS,Health Center,2021-2022,0.0,30.0,0.0,diagnosis,587
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rwamagana PH,"Hospital (DH,PH,RH)",2020-2021,30.0,30.0,100.0,diagnosis,588
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rwamagana PH,"Hospital (DH,PH,RH)",2021-2022,30.0,30.0,100.0,diagnosis,589
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rwankeri CS,Health Center,2022-2023,0.0,30.0,0.0,diagnosis,590
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rwankuba CS,Health Center,2020-2021,0.0,30.0,0.0,diagnosis,591
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rwaza CS,Health Center,2020-2021,0.0,0.0,,diagnosis,592
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rwimitereri CS,Health Center,2020-2021,0.0,0.0,,diagnosis,593
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rwimitereri CS,Health Center,2021-2022,0.0,30.0,0.0,diagnosis,594
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rwinkwavu CS,Health Center,2021-2022,0.0,30.0,0.0,diagnosis,595
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Rwinkwavu DH,"Hospital (DH,PH,RH)",2021-2022,0.0,30.0,0.0,diagnosis,596
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Save CS,Health Center,2021-2022,30.0,30.0,100.0,diagnosis,597
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Save CS,"Hospital (DH,PH,RH)",2020-2021,0.0,0.0,,diagnosis,598
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Shyira DH,"Hospital (DH,PH,RH)",2022-2023,30.0,30.0,100.0,diagnosis,599
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Simbi CS,Health Center,2021-2022,0.0,30.0,0.0,diagnosis,600
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Simbi CS,"Hospital (DH,PH,RH)",2020-2021,0.0,0.0,,diagnosis,601
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Tare CS,Health Center,2020-2021,0.0,0.0,,diagnosis,602
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",Tumba CS,Health Center,2020-2021,0.0,0.0,,diagnosis,603
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",avega kigali cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,604
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",bethasaid cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,605
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",biryogo cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,606
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",busengo cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,607
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",bushoka cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,608
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",butaro DH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,609
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",byumba DH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,610
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",byumba cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,611
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",chk RH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,612
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",cor-unum cs,Health Center,2023-2024,30.0,30.0,100.0,diagnosis,613
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",cyanika cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,614
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",cyarubare cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,615
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",gahini DH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,616
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",gahini cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,617
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",gahunga cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,618
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",gakenke cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,619
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",gasetsa cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,620
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",gatonde DH,"Hospital (DH,PH,RH)",2023-2024,0.0,30.0,0.0,diagnosis,621
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",gatsata cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,622
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",gatunda DH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,623
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",gikondo cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,624
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",gitare cs,Health Center,2023-2024,30.0,30.0,100.0,diagnosis,625
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",gituza cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,626
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",gwinkwavu DH,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,627
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",gwinkwavu cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,628
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",humure cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,629
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",janja cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,630
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",jarama cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,631
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",juru cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,632
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",kabarondo cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,633
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",kabarore cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,634
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",kabusunzu cs,Health Center,2023-2024,30.0,30.0,100.0,diagnosis,635
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",kabuye cs,Health Center,2023-2024,30.0,30.0,100.0,diagnosis,636
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",kageyo cs,Health Center,2023-2024,0.0,60.0,0.0,diagnosis,637
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",kanombe RH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,638
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",karama cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,639
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",kibagabaga DH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,640
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",kibungo RH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,641
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",kicukiro cs,Health Center,2023-2024,30.0,30.0,100.0,diagnosis,642
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",kigarama cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,643
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",kimonyi cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,644
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",kinigi cs,Health Center,2023-2024,0.0,30.0,0.0,diagnosis,645
"Are TB diagnostics continuously functional (microscopy and Expert) and their results available timely (microscopy, expert and culture)?[Questions 3, 4, 5, 6 and 7]","Pour les sites Xpert, durant le mois passé, combien de jours la machine Xpert était opérationnelle ?",kirehe DH,"Hospital (DH,PH,RH)",2023-2024,30.0,30.0,100.0,diagnosis,646
